"downloaded","language","form","form_type","data_id","child_id","age","measure","vocab","n","first_administration","monolingual","typically_developing"
2025-10-22,"English (American)","WG","WG",393867,83000,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393869,83002,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393874,83007,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393882,83015,8,"production",5,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393887,83020,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393890,83023,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393898,83031,8,"production",10,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393908,83041,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393920,83053,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393934,83067,8,"production",9,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393935,83068,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393944,83077,8,"production",5,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393949,83082,8,"production",32,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393961,83094,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393965,83098,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393975,83108,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393976,83109,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393980,83113,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393981,83114,8,"production",7,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393982,83115,8,"production",9,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393991,83124,8,"production",18,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",393992,83125,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394002,83135,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394011,83144,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394015,83148,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394024,83157,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394038,83171,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394043,83176,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394047,83180,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394051,83184,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394060,83193,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394072,83205,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394075,83208,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394076,83209,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394077,83210,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394084,83217,8,"production",3,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394086,83219,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394092,83225,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394094,83227,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394100,83233,8,"production",24,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394101,83234,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394102,83235,8,"production",2,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394112,83245,8,"production",4,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394113,83246,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394117,83250,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394120,83253,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394122,83255,8,"production",0,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394125,83258,8,"production",1,3686,TRUE,TRUE,TRUE
2025-10-22,"English (American)","WG","WG",394127,83260,8,"production",0,3686,TRUE,TRUE,TRUE
